,Unnamed: 0,Name,A1,A2,B,X1,X2,X3,X4,A1 NumberofProtons,A1 NumberofNeutrons,A1 NumberofShells,A1 SpecificHeat,A1 Density,A1 Ion Radius,A1 FirstIonization,A1 AtomicMass,A1 MeltingPoint,A2 NumberofProtons,A2 NumberofNeutrons,A2 NumberofShells,A2 SpecificHeat,A2 Density,A2 Ion Radius,A2 FirstIonization,A2 AtomicMass,A2 MeltingPoint,B NumberofProtons,B NumberofNeutrons,B NumberofShells,B SpecificHeat,B Density,B Ion Radius,B FirstIonization,B AtomicMass,B MeltingPoint,X1 NumberofProtons,X1 NumberofNeutrons,X1 NumberofShells,X1 SpecificHeat,X1 Density,X1 Ion Radius,X1 FirstIonization,X1 AtomicMass,X1 MeltingPoint,X2 NumberofProtons,X2 NumberofNeutrons,X2 NumberofShells,X2 SpecificHeat,X2 Density,X2 Ion Radius,X2 FirstIonization,X2 AtomicMass,X2 MeltingPoint,X3 NumberofProtons,X3 NumberofNeutrons,X3 NumberofShells,X3 SpecificHeat,X3 Density,X3 Ion Radius,X3 FirstIonization,X3 AtomicMass,X3 MeltingPoint,X4 NumberofProtons,X4 NumberofNeutrons,X4 NumberofShells,X4 SpecificHeat,X4 Density,X4 Ion Radius,X4 FirstIonization,X4 AtomicMass,X4 MeltingPoint
10,10,Li2GeF2ClI,Li,Li,Ge,Cl,I,F,F,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,32,41,4,0.32,5.32,53.0,7.8994,72.64,1211.45,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63
11,11,Li2GeBr2ClI,Li,Li,Ge,Cl,I,Br,Br,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,32,41,4,0.32,5.32,53.0,7.8994,72.64,1211.45,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05
12,12,Li2GeCl2BrF,Li,Li,Ge,Br,F,Cl,Cl,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,32,41,4,0.32,5.32,53.0,7.8994,72.64,1211.45,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31
13,13,Li2GeI2BrF,Li,Li,Ge,Br,F,I,I,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,32,41,4,0.32,5.32,53.0,7.8994,72.64,1211.45,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65
14,14,Li2GeF2BrCl,Li,Li,Ge,Br,Cl,F,F,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,32,41,4,0.32,5.32,53.0,7.8994,72.64,1211.45,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63
15,15,Li2GeI2BrCl,Li,Li,Ge,Br,Cl,I,I,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,32,41,4,0.32,5.32,53.0,7.8994,72.64,1211.45,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65
16,16,Li2GeF2BrI,Li,Li,Ge,Br,I,F,F,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,32,41,4,0.32,5.32,53.0,7.8994,72.64,1211.45,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63
17,17,Li2GeCl2BrI,Li,Li,Ge,Br,I,Cl,Cl,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,32,41,4,0.32,5.32,53.0,7.8994,72.64,1211.45,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31
18,18,Li2GeCl2IF,Li,Li,Ge,I,F,Cl,Cl,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,32,41,4,0.32,5.32,53.0,7.8994,72.64,1211.45,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31
19,19,Li2GeBr2IF,Li,Li,Ge,I,F,Br,Br,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,32,41,4,0.32,5.32,53.0,7.8994,72.64,1211.45,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05
20,20,Li2GeF2ICl,Li,Li,Ge,I,Cl,F,F,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,32,41,4,0.32,5.32,53.0,7.8994,72.64,1211.45,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63
21,21,Li2GeBr2ICl,Li,Li,Ge,I,Cl,Br,Br,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,32,41,4,0.32,5.32,53.0,7.8994,72.64,1211.45,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05
22,22,Li2GeF2IBr,Li,Li,Ge,I,Br,F,F,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,32,41,4,0.32,5.32,53.0,7.8994,72.64,1211.45,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63
23,23,Li2GeCl2IBr,Li,Li,Ge,I,Br,Cl,Cl,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,32,41,4,0.32,5.32,53.0,7.8994,72.64,1211.45,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31
24,24,Li2SnBr2FCl,Li,Li,Sn,F,Cl,Br,Br,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,50,69,5,0.228,7.29,69.0,7.3439,118.71,505.21,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05
25,25,Li2SnI2FCl,Li,Li,Sn,F,Cl,I,I,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,50,69,5,0.228,7.29,69.0,7.3439,118.71,505.21,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65
26,26,Li2SnCl2FBr,Li,Li,Sn,F,Br,Cl,Cl,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,50,69,5,0.228,7.29,69.0,7.3439,118.71,505.21,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31
27,27,Li2SnI2FBr,Li,Li,Sn,F,Br,I,I,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,50,69,5,0.228,7.29,69.0,7.3439,118.71,505.21,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65
28,28,Li2SnCl2FI,Li,Li,Sn,F,I,Cl,Cl,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,50,69,5,0.228,7.29,69.0,7.3439,118.71,505.21,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31
29,29,Li2SnBr2FI,Li,Li,Sn,F,I,Br,Br,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,50,69,5,0.228,7.29,69.0,7.3439,118.71,505.21,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05
30,30,Li2SnBr2ClF,Li,Li,Sn,Cl,F,Br,Br,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,50,69,5,0.228,7.29,69.0,7.3439,118.71,505.21,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05
31,31,Li2SnI2ClF,Li,Li,Sn,Cl,F,I,I,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,50,69,5,0.228,7.29,69.0,7.3439,118.71,505.21,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65
32,32,Li2SnF2ClBr,Li,Li,Sn,Cl,Br,F,F,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,50,69,5,0.228,7.29,69.0,7.3439,118.71,505.21,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63
33,33,Li2SnI2ClBr,Li,Li,Sn,Cl,Br,I,I,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,50,69,5,0.228,7.29,69.0,7.3439,118.71,505.21,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65
34,34,Li2SnF2ClI,Li,Li,Sn,Cl,I,F,F,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,50,69,5,0.228,7.29,69.0,7.3439,118.71,505.21,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63
35,35,Li2SnBr2ClI,Li,Li,Sn,Cl,I,Br,Br,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,50,69,5,0.228,7.29,69.0,7.3439,118.71,505.21,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05
36,36,Li2SnCl2BrF,Li,Li,Sn,Br,F,Cl,Cl,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,50,69,5,0.228,7.29,69.0,7.3439,118.71,505.21,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31
37,37,Li2SnI2BrF,Li,Li,Sn,Br,F,I,I,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,50,69,5,0.228,7.29,69.0,7.3439,118.71,505.21,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65
38,38,Li2SnF2BrCl,Li,Li,Sn,Br,Cl,F,F,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,50,69,5,0.228,7.29,69.0,7.3439,118.71,505.21,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63
39,39,Li2SnI2BrCl,Li,Li,Sn,Br,Cl,I,I,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,50,69,5,0.228,7.29,69.0,7.3439,118.71,505.21,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65
40,40,Li2SnF2BrI,Li,Li,Sn,Br,I,F,F,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,50,69,5,0.228,7.29,69.0,7.3439,118.71,505.21,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63
41,41,Li2SnCl2BrI,Li,Li,Sn,Br,I,Cl,Cl,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,50,69,5,0.228,7.29,69.0,7.3439,118.71,505.21,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31
42,42,Li2SnCl2IF,Li,Li,Sn,I,F,Cl,Cl,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,50,69,5,0.228,7.29,69.0,7.3439,118.71,505.21,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31
43,43,Li2SnBr2IF,Li,Li,Sn,I,F,Br,Br,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,50,69,5,0.228,7.29,69.0,7.3439,118.71,505.21,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05
44,44,Li2SnF2ICl,Li,Li,Sn,I,Cl,F,F,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,50,69,5,0.228,7.29,69.0,7.3439,118.71,505.21,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63
45,45,Li2SnBr2ICl,Li,Li,Sn,I,Cl,Br,Br,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,50,69,5,0.228,7.29,69.0,7.3439,118.71,505.21,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05
46,46,Li2SnF2IBr,Li,Li,Sn,I,Br,F,F,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,50,69,5,0.228,7.29,69.0,7.3439,118.71,505.21,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63
47,47,Li2SnCl2IBr,Li,Li,Sn,I,Br,Cl,Cl,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,50,69,5,0.228,7.29,69.0,7.3439,118.71,505.21,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31
48,48,Li2PbBr2FCl,Li,Li,Pb,F,Cl,Br,Br,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,82,125,6,0.129,11.3,119.0,7.4167,207.2,600.75,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05
